firstname,lastname,dob
meriadoc,brandybuck,T.A. 2982
peregrin,took,T.A. 2990
bilbo,baggins,T.A. 2890
aragorn,son of arathorn,T.A. 2931
boromir,son of denethor,T.A. 2978
gandalf,the grey,T.A. 1000
legolas,greenleaf,T.A. 87
gimli,son of gloin,T.A. 2879
faramir,son of denethor,T.A. 2983
arwen,undomiel,T.A. 241
eowyn,daughter of eomund,T.A. 2995
eomer,son of eomund,T.A. 2991
theoden,son of thengel,T.A. 2948
denethor,son of ecthelion,T.A. 2930
galadriel,lady of lothlorien,T.A. 1362
celeborn,lord of lothlorien,T.A. 1000
Samwise,Gamgee,T.A 2980
Frodo,Baggins,T.A 2968
